alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
13.545,-29.987325,-70.976208,0.41509408694673,22.0724196574304,57.2022135330763,4.64145253541301,-0.0301540722078649,1.60342764949545,0.0316219178182997,1.68147960283486,0.98778130226629,0.0656067103816136
15.1975,-29.975261,-70.832608,0.591617176091019,71.9482524313128,99.4809007732654,2.31780093542713,-0.0183169231060978,2.22757326977896,0.0225063284805635,2.73705880806358,0.965965688932555,-0.2985209211665
17.4825,-29.948297,-70.633184,1.3185806754557,393.088902149076,76.9238980510755,1.20501828109754,-0.00811905715487639,2.42041410351548,0.0260788290418535,7.774494551767,0.996360328383426,-1.74999304592186
19.505,-29.926569,-70.534015,0.87682447213226,15.98129372805,85.8207086909876,10.1080193522562,-0.144043914561475,2.62539217541117,0.145467666547538,2.65134195145909,0.907026584740675,-0.322710524489112
24.8325,-29.87112,-70.392852,0.629018044280169,23.4038502649077,80.6146662279242,3.77986127388564,-0.0362922090580333,1.35032283143632,0.0390235441733388,1.45194751238653,0.957911111802027,0.621093802269843
13.545,-29.987,-70.976,0.41509,22.072,57.202,4.6415,-0.030154,1.6034,0.031622,1.6815,0.98778,0.065607
15.197,-29.975,-70.833,0.59162,71.948,99.481,2.3178,-0.018317,2.2276,0.022506,2.7371,0.96597,-0.29852
17.483,-29.948,-70.633,1.3186,393.09,76.924,1.205,-0.0081191,2.4204,0.026079,7.7745,0.99636,-1.75
19.505,-29.927,-70.534,0.87682,15.981,85.821,10.108,-0.14404,2.6254,0.14547,2.6513,0.90703,-0.32271
24.832,-29.871,-70.393,0.62902,23.404,80.615,3.7799,-0.036292,1.3503,0.039024,1.4519,0.95791,0.62109
13.545,-29.987,-70.976,0.41509,22.072,57.202,4.6415,-0.030154,1.6034,0.031622,1.6815,0.98778,0.065607
15.197,-29.975,-70.833,0.59162,71.948,99.481,2.3178,-0.018317,2.2276,0.022506,2.7371,0.96597,-0.29852
17.483,-29.948,-70.633,1.3186,393.09,76.924,1.205,-0.0081191,2.4204,0.026079,7.7745,0.99636,-1.75
19.505,-29.927,-70.534,0.87682,15.981,85.821,10.108,-0.14404,2.6254,0.14547,2.6513,0.90703,-0.32271
24.832,-29.871,-70.393,0.62902,23.404,80.615,3.7799,-0.036292,1.3503,0.039024,1.4519,0.95791,0.62109
13.545,-29.987,-70.976,0.41509,22.072,57.202,4.6415,-0.030154,1.6034,0.031622,1.6815,0.98778,0.065607
15.197,-29.975,-70.833,0.59162,71.948,99.481,2.3178,-0.018317,2.2276,0.022506,2.7371,0.96597,-0.29852
17.483,-29.948,-70.633,1.3186,393.09,76.924,1.205,-0.0081191,2.4204,0.026079,7.7745,0.99636,-1.75
19.505,-29.927,-70.534,0.87682,15.981,85.821,10.108,-0.14404,2.6254,0.14547,2.6513,0.90703,-0.32271
24.832,-29.871,-70.393,0.62902,23.404,80.615,3.7799,-0.036292,1.3503,0.039024,1.4519,0.95791,0.62109
